,global_south_country,region,global_south,gadm_name,geofabrik_name,geofabrik_region,geofabrik_NA,total_gadm_count,missing_gadm_block_count,missing_gadm_block,missing_gadm_bldg_count,pct_gadm_no_bldg,pct_bldg_unmatched,missing_gadm_bldg
0,Afghanistan,Asia & Pacific,Global South,AFG,afghanistan,asia,,328.0,0.0,,0.0,0.25609756097560976,0.11319382034493089,
1,Algeria,Arab States,Global South,DZA,algeria,africa,,1504.0,0.0,,0.0,0.22074468085106383,0.005244934182441828,
2,American Samoa,Asia & Pacific,Global South,ASM,american-samoa,asia,1.0,74.0,74.0,ASM.2.2.2_1; ASM.1.3.4_1; ASM.2.2.1_1; ASM.4.4.4_1; ASM.1.2.5_1; ASM.2.4.1_1; ASM.4.3.1_1; ASM.1.4.7_1; ASM.1.1.1_1; ASM.3.2.1_1; ASM.1.5.5_1; ASM.1.3.5_1; ASM.2.1.1_1; ASM.4.1.7_1; ASM.4.1.8_1; ASM.4.1.10_1; ASM.4.2.2_1; ASM.1.3.3_1; ASM.4.1.13_1; ASM.2.5.1_1; ASM.4.2.1_1; ASM.4.4.3_1; ASM.1.2.9_1; ASM.1.1.3_1; ASM.1.3.1_1; ASM.1.2.8_1; ASM.1.3.2_1; ASM.1.3.6_1; ASM.4.1.4_1; ASM.4.3.3_1; ASM.4.1.14_1; ASM.1.4.10_1; ASM.4.1.9_1; ASM.4.1.12_1; ASM.3.1.1_1; ASM.1.2.3_1; ASM.4.4.8_1; ASM.1.5.4_1; ASM.4.1.11_1; ASM.4.1.3_1; ASM.1.2.2_1; ASM.4.4.6_1; ASM.1.1.2_1; ASM.1.2.6_1; ASM.4.1.1_1; ASM.2.5.2_1; ASM.4.1.5_1; ASM.1.4.11_1; ASM.4.2.3_1; ASM.1.4.2_1; ASM.4.4.5_1; ASM.1.5.2_1; ASM.1.4.1_1; ASM.1.2.7_1; ASM.1.4.6_1; ASM.2.4.2_1; ASM.1.2.4_1; ASM.1.5.3_1; ASM.4.3.4_1; ASM.1.4.9_1; ASM.1.5.1_1; ASM.4.3.2_1; ASM.4.4.1_1; ASM.4.1.2_1; ASM.4.4.2_1; ASM.1.4.5_1; ASM.4.1.6_1; ASM.4.4.7_1; ASM.1.4.4_1; ASM.1.1.4_1; ASM.1.4.3_1; ASM.1.4.8_1; ASM.2.3.1_1; ASM.1.2.1_1,,,,
3,Angola,Africa,Global South,AGO,angola,africa,,527.0,1.0,AGO.18.3.4_1,1.0,0.49809885931558934,0.13310152990264257,AGO.18.3.4_1
4,Anguilla,South/Latin America,Global South,AIA,anguilla,south-america,1.0,1.0,1.0,AIA,,,,
5,Antigua and Barbuda,South/Latin America,Global South,ATG,antigua-and-barbuda,south-america,1.0,8.0,8.0,ATG.2_1; ATG.5_1; ATG.7_1; ATG.1_1; ATG.6_1; ATG.4_1; ATG.3_1; ATG.8_1,,,,
6,Argentina,South/Latin America,Global South,ARG,argentina,south-america,,503.0,0.0,,0.0,0.02186878727634195,0.02016951686543305,
7,Armenia,Europe,Global South,ARM,armenia,asia,,11.0,0.0,,0.0,0.0,0.0009187696993156017,
8,Aruba,South/Latin America,Global South,ABW,aruba,south-america,1.0,1.0,1.0,ABW,,,,
9,Azerbaijan,Asia & Pacific,Global South,AZE,azerbaijan,asia,,79.0,0.0,,0.0,0.012658227848101266,0.017989671811947962,
10,Bahamas,South/Latin America,Global South,BHS,bahamas,south-america,1.0,32.0,32.0,BHS.32_1; BHS.1_1; BHS.20_1; BHS.21_1; BHS.4_1; BHS.8_1; BHS.3_1; BHS.19_1; BHS.17_1; BHS.22_1; BHS.10_1; BHS.14_1; BHS.23_1; BHS.28_1; BHS.2_1; BHS.30_1; BHS.15_1; BHS.13_1; BHS.7_1; BHS.9_1; BHS.29_1; BHS.25_1; BHS.16_1; BHS.27_1; BHS.12_1; BHS.24_1; BHS.18_1; BHS.26_1; BHS.31_1; BHS.11_1; BHS.5_1; BHS.6_1,,,,
11,Bahrain,Arab States,Global South,BHR,gcc-states,asia,,5.0,0.0,,0.0,0.0,0.9832658492402981,
12,Bangladesh,Asia & Pacific,Global South,BGD,bangladesh,asia,,5158.0,119.0,BGD.5.7.2.13_1; BGD.2.8.6.1_1; BGD.3.15.3.6_1; BGD.3.8.3.6_1; BGD.5.7.5.2_1; BGD.3.6.3.3_1; BGD.2.5.10.1_1; BGD.2.11.3.3_1; BGD.3.7.1.4_1; BGD.5.7.2.10_1; BGD.2.3.3.5_1; BGD.3.7.4.1_1; BGD.1.3.2.4_1; BGD.3.2.7.8_1; BGD.2.4.23.7_1; BGD.5.4.5.13_1; BGD.3.15.4.4_1; BGD.3.8.3.8_1; BGD.2.11.7.4_1; BGD.3.6.2.4_1; BGD.3.15.4.3_1; BGD.7.2.1.8_1; BGD.3.7.4.14_1; BGD.2.2.4.1_1; BGD.3.8.1.1_1; BGD.5.7.13.7_1; BGD.7.2.6.5_1; BGD.2.11.3.1_1; BGD.3.8.5.3_1; BGD.2.3.4.12_1; BGD.2.3.1.8_1; BGD.2.5.15.10_1; BGD.5.2.1.3_1; BGD.2.5.8.13_1; BGD.3.6.3.8_1; BGD.5.6.1.6_1; BGD.1.2.10.5_1; BGD.6.8.2.1_1; BGD.5.3.10.1_1; BGD.3.1.29.13_1; BGD.2.2.8.5_1; BGD.5.6.4.4_1; BGD.2.10.2.10_1; BGD.5.2.1.6_1; BGD.2.11.1.1_1; BGD.2.3.2.8_1; BGD.2.5.15.7_1; BGD.5.1.3.7_1; BGD.7.2.2.6_1; BGD.2.9.4.4_1; BGD.3.4.4.15_1; BGD.3.7.2.7_1; BGD.7.1.4.8_1; BGD.5.7.1.5_1; BGD.2.4.10.1_1; BGD.2.9.1.3_1; BGD.3.7.4.5_1; BGD.2.3.7.14_1; BGD.2.10.2.3_1; BGD.5.6.9.6_1; BGD.2.9.1.8_1; BGD.3.6.10.1_1; BGD.3.4.1.15_1; BGD.1.2.7.2_1; BGD.3.6.6.4_1; BGD.2.5.12.9_1; BGD.2.3.6.2_1; BGD.2.11.10.2_1; BGD.2.5.15.4_1; BGD.2.3.5.8_1; BGD.5.1.3.10_1; BGD.2.3.3.3_1; BGD.5.7.13.3_1; BGD.2.10.6.1_1; BGD.3.8.1.8_1; BGD.2.9.1.1_1; BGD.5.7.2.9_1; BGD.5.1.12.8_1; BGD.5.4.5.3_1; BGD.5.1.5.2_1; BGD.1.3.7.1_1; BGD.1.3.3.4_1; BGD.3.7.2.4_1; BGD.3.15.2.3_1; BGD.6.2.4.8_1; BGD.2.3.6.5_1; BGD.7.4.3.4_1; BGD.2.3.7.5_1; BGD.3.2.8.5_1; BGD.2.9.1.7_1; BGD.3.6.6.6_1; BGD.6.4.2.7_1; BGD.3.2.2.8_1; BGD.3.6.6.11_1; BGD.2.11.7.5_1; BGD.5.8.4.9_1; BGD.2.5.15.2_1; BGD.1.3.3.2_1; BGD.3.15.5.7_1; BGD.3.16.5.8_1; BGD.3.8.3.13_1; BGD.3.1.12.7_1; BGD.3.7.3.10_1; BGD.2.9.4.1_1; BGD.2.3.2.15_1; BGD.3.17.1.2_1; BGD.5.4.2.4_1; BGD.3.4.2.7_1; BGD.2.11.7.2_1; BGD.3.8.4.1_1; BGD.7.1.7.5_1; BGD.3.15.2.8_1; BGD.2.7.3.1_1; BGD.2.3.6.7_1; BGD.5.7.2.1_1; BGD.2.9.3.6_1; BGD.3.7.4.3_1; BGD.7.1.8.14_1; BGD.5.7.5.4_1,119.0,0.400476284977178,0.020349356258544657,BGD.5.7.2.13_1; BGD.2.8.6.1_1; BGD.3.15.3.6_1; BGD.3.8.3.6_1; BGD.5.7.5.2_1; BGD.3.6.3.3_1; BGD.2.5.10.1_1; BGD.2.11.3.3_1; BGD.5.7.2.10_1; BGD.3.7.1.4_1; BGD.2.3.3.5_1; BGD.3.7.4.1_1; BGD.1.3.2.4_1; BGD.2.4.23.7_1; BGD.3.2.7.8_1; BGD.5.4.5.13_1; BGD.3.15.4.4_1; BGD.3.8.3.8_1; BGD.2.11.7.4_1; BGD.3.6.2.4_1; BGD.3.15.4.3_1; BGD.2.2.4.1_1; BGD.7.2.1.8_1; BGD.3.7.4.14_1; BGD.3.8.1.1_1; BGD.5.7.13.7_1; BGD.7.2.6.5_1; BGD.2.11.3.1_1; BGD.3.8.5.3_1; BGD.2.3.4.12_1; BGD.2.3.1.8_1; BGD.2.5.15.10_1; BGD.5.2.1.3_1; BGD.2.5.8.13_1; BGD.3.6.3.8_1; BGD.5.6.1.6_1; BGD.1.2.10.5_1; BGD.6.8.2.1_1; BGD.5.3.10.1_1; BGD.3.1.29.13_1; BGD.2.2.8.5_1; BGD.5.6.4.4_1; BGD.2.10.2.10_1; BGD.5.2.1.6_1; BGD.2.11.1.1_1; BGD.2.3.2.8_1; BGD.2.5.15.7_1; BGD.5.1.3.7_1; BGD.7.2.2.6_1; BGD.2.9.4.4_1; BGD.3.4.4.15_1; BGD.3.7.2.7_1; BGD.7.1.4.8_1; BGD.5.7.1.5_1; BGD.2.4.10.1_1; BGD.2.9.1.3_1; BGD.3.7.4.5_1; BGD.2.3.7.14_1; BGD.2.10.2.3_1; BGD.5.6.9.6_1; BGD.2.9.1.8_1; BGD.3.6.10.1_1; BGD.3.4.1.15_1; BGD.1.2.7.2_1; BGD.3.6.6.4_1; BGD.2.5.12.9_1; BGD.2.11.10.2_1; BGD.2.3.6.2_1; BGD.2.5.15.4_1; BGD.2.3.5.8_1; BGD.5.1.3.10_1; BGD.2.3.3.3_1; BGD.5.7.13.3_1; BGD.2.10.6.1_1; BGD.3.8.1.8_1; BGD.2.9.1.1_1; BGD.5.7.2.9_1; BGD.5.1.12.8_1; BGD.5.4.5.3_1; BGD.5.1.5.2_1; BGD.1.3.7.1_1; BGD.1.3.3.4_1; BGD.3.7.2.4_1; BGD.3.15.2.3_1; BGD.6.2.4.8_1; BGD.2.3.6.5_1; BGD.7.4.3.4_1; BGD.2.3.7.5_1; BGD.3.2.8.5_1; BGD.2.9.1.7_1; BGD.3.6.6.6_1; BGD.6.4.2.7_1; BGD.3.2.2.8_1; BGD.3.6.6.11_1; BGD.2.11.7.5_1; BGD.5.8.4.9_1; BGD.1.3.3.2_1; BGD.2.5.15.2_1; BGD.3.15.5.7_1; BGD.3.16.5.8_1; BGD.3.8.3.13_1; BGD.3.1.12.7_1; BGD.3.7.3.10_1; BGD.2.9.4.1_1; BGD.2.3.2.15_1; BGD.3.17.1.2_1; BGD.5.4.2.4_1; BGD.2.11.7.2_1; BGD.3.4.2.7_1; BGD.3.8.4.1_1; BGD.7.1.7.5_1; BGD.3.15.2.8_1; BGD.2.7.3.1_1; BGD.2.3.6.7_1; BGD.5.7.2.1_1; BGD.2.9.3.6_1; BGD.3.7.4.3_1; BGD.7.1.8.14_1; BGD.5.7.5.4_1
13,Barbados,South/Latin America,Global South,BRB,barbados,south-america,1.0,11.0,11.0,BRB.6_1; BRB.10_1; BRB.5_1; BRB.7_1; BRB.2_1; BRB.8_1; BRB.3_1; BRB.9_1; BRB.4_1; BRB.1_1; BRB.11_1,,,,
14,Belarus,Europe,Global South,BLR,belarus,europe,,118.0,0.0,,0.0,0.0,0.03813511743003871,
15,Belize,South/Latin America,Global South,BLZ,belize,central-america,,6.0,0.0,,0.0,0.0,0.0017540532852943966,
16,Benin,Africa,Global South,BEN,benin,africa,,76.0,0.0,,0.0,0.0,0.06489898355341685,
17,Bhutan,Asia & Pacific,Global South,BTN,bhutan,asia,,205.0,0.0,,0.0,0.32195121951219513,0.0012540308133285561,
18,Bolivia,South/Latin America,Global South,BOL,bolivia,south-america,,319.0,0.0,,0.0,0.16300940438871472,0.0017236350136564929,
19,Botswana,Africa,Global South,BWA,botswana,africa,,30.0,0.0,,0.0,0.0,0.010990042213507415,
20,Bouvet Island,South/Latin America,Global South,BVT,bouvet-island,south-america,1.0,1.0,1.0,BVT,,,,
