,global_south_country,region,global_south,gadm_name,geofabrik_name,geofabrik_region,geofabrik_NA,total_gadm_count,missing_gadm_block_count,missing_gadm_block,missing_gadm_bldg_count,pct_gadm_no_bldg,pct_bldg_unmatched,missing_gadm_bldg
87,Liberia,Africa,Global South,LBR,liberia,africa,,305.0,1.0,LBR.15.2.2_1,1.0,0.09210526315789473,0.11641729823391181,LBR.15.2.2_1
88,Libya,Arab States,Global South,LBY,libya,africa,,22.0,0.0,,0.0,0.0,0.00675812274368231,
89,Madagascar,Africa,Global South,MDG,madagascar,africa,,1433.0,1.0,MDG.3.5.3.41_1,1.0,0.42310188189487347,0.00037214727891785667,MDG.3.5.3.41_1
90,Malawi,Africa,Global South,MWI,malawi,africa,,3126.0,1.0,MWI.24.1.1_1,1.0,0.43776,0.04097304186684027,MWI.24.1.1_1
91,Malaysia,Asia & Pacific,Global South,MYS,malaysia-singapore-brunei,asia,,144.0,0.0,,0.0,0.006944444444444444,0.36285459787497953,
92,Maldives,Asia & Pacific,Global South,MDV,maldives,asia,,1.0,0.0,,0.0,0.0,0.17988586551980812,
93,Mali,Africa,Global South,MLI,mali,africa,,704.0,37.0,MLI.9.2.6.1_1; MLI.9.4.2.1_1; MLI.9.3.1.1_1; MLI.9.4.6.1_1; MLI.9.3.5.1_1; MLI.9.4.3.1_1; MLI.9.5.2.1_1; MLI.9.4.3.2_1; MLI.9.2.5.3_1; MLI.9.3.3.2_1; MLI.9.5.4.1_1; MLI.9.2.5.4_1; MLI.9.4.4.1_1; MLI.9.5.5.1_1; MLI.9.2.1.3_1; MLI.9.4.7.1_1; MLI.9.5.1.1_1; MLI.9.2.4.1_1; MLI.9.2.6.2_1; MLI.9.3.4.1_1; MLI.9.4.5.1_1; MLI.9.4.1.1_1; MLI.9.3.3.1_1; MLI.9.5.5.2_1; MLI.9.3.2.1_1; MLI.9.2.5.1_1; MLI.9.3.7.1_1; MLI.9.3.6.1_1; MLI.9.5.3.1_1; MLI.9.2.5.2_1; MLI.9.2.8.1_1; MLI.9.2.7.1_1; MLI.9.3.6.2_1; MLI.9.2.2.1_1; MLI.9.2.4.2_1; MLI.9.2.3.1_1; MLI.9.2.7.2_1,,,,
94,Marshall Islands,Asia & Pacific,Global South,MHL,marshall-islands,asia,1.0,1.0,1.0,MHL,,,,
95,Martinique,South/Latin America,Global South,MTQ,martinique,south-america,1.0,32.0,32.0,MTQ.2.2_1; MTQ.3.9_1; MTQ.2.11_1; MTQ.2.4_1; MTQ.3.6_1; MTQ.3.8_1; MTQ.2.9_1; MTQ.1.3_1; MTQ.4.6_1; MTQ.2.10_1; MTQ.4.8_1; MTQ.4.7_1; MTQ.4.1_1; MTQ.2.6_1; MTQ.3.3_1; MTQ.4.5_1; MTQ.3.2_1; MTQ.3.4_1; MTQ.1.2_1; MTQ.4.4_1; MTQ.1.4_1; MTQ.2.1_1; MTQ.4.2_1; MTQ.3.7_1; MTQ.3.5_1; MTQ.2.8_1; MTQ.2.7_1; MTQ.1.1_1; MTQ.3.1_1; MTQ.2.5_1; MTQ.2.3_1; MTQ.4.3_1,,,,
96,Mauritania,Arab States,Global South,MRT,mauritania,africa,,44.0,0.0,,0.0,0.06818181818181818,0.3562834389408023,
97,Mauritius,Africa,Global South,MUS,mauritius,africa,,12.0,0.0,,0.0,0.0,0.004086099963516964,
98,Mayotte,Africa,Global South,MYT,mayotte,africa,1.0,17.0,17.0,MYT.3_1; MYT.15_1; MYT.12_1; MYT.6_1; MYT.11_1; MYT.13_1; MYT.16_1; MYT.5_1; MYT.10_1; MYT.7_1; MYT.17_1; MYT.2_1; MYT.9_1; MYT.14_1; MYT.8_1; MYT.4_1; MYT.1_1,,,,
99,Mexico,South/Latin America,Global South,MEX,mexico,north-america,,1854.0,5.0,MEX.24.23_1; MEX.21.131_1; MEX.15.12_1; MEX.27.3_1; MEX.15.70_1,,,,
100,"Micronesia, Federated States of",Asia & Pacific,Global South,FSM,micronesia-federated-states-of,asia,1.0,4.0,4.0,FSM.3_1; FSM.2_1; FSM.1_1; FSM.4_1,,,,
101,Mongolia,Asia & Pacific,Global South,MNG,mongolia,asia,,327.0,0.0,,0.0,0.14678899082568808,0.0067269706913048325,
102,Montserrat,South/Latin America,Global South,MSR,montserrat,south-america,1.0,3.0,3.0,MSR.2_1; MSR.1_1; MSR.3_1,,,,
103,Morocco,Arab States,Global South,MAR,morocco,africa,,1515.0,0.0,,0.0,0.428944618599791,0.027919491654251925,
104,Mozambique,Africa,Global South,MOZ,mozambique,africa,,413.0,0.0,,0.0,0.13559322033898305,0.044951346614252555,
105,Myanmar,Asia & Pacific,Global South,MMR,myanmar,asia,,286.0,0.0,,0.0,0.11188811188811189,0.04413163959382089,
106,Namibia,Africa,Global South,NAM,namibia,africa,,107.0,0.0,,0.0,0.12149532710280374,0.3793199424780814,
107,Nauru,Asia & Pacific,Global South,NRU,nauru,asia,1.0,14.0,14.0,NRU.12_1; NRU.10_1; NRU.9_1; NRU.13_1; NRU.14_1; NRU.7_1; NRU.2_1; NRU.4_1; NRU.11_1; NRU.5_1; NRU.3_1; NRU.8_1; NRU.6_1; NRU.1_1,,,,
108,Nepal,Asia & Pacific,Global South,NPL,nepal,asia,,3983.0,1.0,NPL.3.2.2.22_1,1.0,0.17503766951280764,0.021121201731795023,NPL.3.2.2.22_1
109,Netherlands Antilles,South/Latin America,Global South,,netherlands-antilles,south-america,1.0,,,,,,,
110,New Caledonia,Asia & Pacific,Global South,NCL,new-caledonia,australia-oceania,,35.0,0.0,,0.0,0.02857142857142857,0.0017099805299246593,
111,Nicaragua,South/Latin America,Global South,NIC,nicaragua,central-america,,139.0,0.0,,0.0,0.0,0.025189201400655146,
112,Niger,Africa,Global South,NER,niger,africa,,131.0,0.0,,0.0,0.06870229007633588,0.04701077671785685,
113,Nigeria,Africa,Global South,NGA,nigeria,africa,,775.0,0.0,,0.0,0.18064516129032257,0.007096577037716961,
114,Niue,Asia & Pacific,Global South,NIU,niue,asia,1.0,1.0,1.0,NIU,,,,
115,Norfolk Island,Asia & Pacific,Global South,NFK,norfolk-island,asia,1.0,1.0,1.0,NFK,,,,
116,Northern Mariana Islands,Asia & Pacific,Global South,MNP,northern-mariana-islands,asia,1.0,4.0,4.0,MNP.3_1; MNP.1_1; MNP.2_1; MNP.4_1,,,,
117,Oman,Arab States,Global South,OMN,gcc-states,asia,,49.0,0.0,,0.0,0.0,0.9226396635078874,
118,Pakistan,Asia & Pacific,Global South,PAK,pakistan,asia,,141.0,0.0,,0.0,0.11347517730496454,0.0010455482645989904,
119,Palau,Asia & Pacific,Global South,PLW,palau,asia,1.0,16.0,16.0,PLW.13_1; PLW.6_1; PLW.5_1; PLW.7_1; PLW.1_1; PLW.10_1; PLW.14_1; PLW.16_1; PLW.2_1; PLW.8_1; PLW.9_1; PLW.15_1; PLW.3_1; PLW.11_1; PLW.4_1; PLW.12_1,,,,
120,Palestinian Territory,Arab States,Global South,PSE,israel-and-palestine,asia,,16.0,0.0,,0.0,0.0,0.6132443546805376,
